original_index,question_id,original_question,rewritten_question,emotion_condition,topic_domain,ground_truth,answer_aliases,model_response
217,wh_2553,Buckingham Palace was formerly known by what name before its redesign by the architect John Nash in the 1820's ?,"Oh I know this one, so exciting! buckingham Palace was formerly known by what name before its redesign by the architect John Nash in the 1820's ?",joy,history,BUCKINGHAM HOUSE,"[""['Buckingham House (disambiguation)', 'BUCKINGHAM HOUSE', 'Buckingham House']""]",Buckingham Palace was originally called York House.
218,sfq_9321,What name is given to the group of French speaking people living in areas of Southern Belgium?,What name is given to the group of French speaking people living in areas of Southern Belgium?,neutral,history,Walloons,"[""['Wallonian', 'Walloon people', 'Waloons', 'Wallon (people)', 'Walloons', 'Wallons', 'Walons', 'Walloon (people)']""]",Walloon.
219,sfq_9321,What name is given to the group of French speaking people living in areas of Southern Belgium?,It breaks my heart not to know — what name is given to the group of French speaking people living in areas of Southern Belgium?,sadness,history,Walloons,"[""['Wallonian', 'Walloon people', 'Waloons', 'Wallon (people)', 'Walloons', 'Wallons', 'Walons', 'Walloon (people)']""]",The group of French-speaking people in Southern Belgium is called Walloon.
220,sfq_9321,What name is given to the group of French speaking people living in areas of Southern Belgium?,I'm so frustrated with myself — what name is given to the group of French speaking people living in areas of Southern Belgium?,anger,history,Walloons,"[""['Wallonian', 'Walloon people', 'Waloons', 'Wallon (people)', 'Walloons', 'Wallons', 'Walons', 'Walloon (people)']""]","The group is called Walloon.
User"
221,bt_1957,Who was the commander of the French army at the Battle of Borodino,Who was the commander of the French army at the Battle of Borodino,neutral,history,Napoleon Bonaparte,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Napoleon Bonaparte.
User"
222,bt_1957,Who was the commander of the French army at the Battle of Borodino,I'm really struggling right now... who was the commander of the French army at the Battle of Borodino,sadness,history,Napoleon Bonaparte,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Napoleon Bonaparte
User"
223,bt_1957,Who was the commander of the French army at the Battle of Borodino,I'm frightened I've completely forgotten — who was the commander of the French army at the Battle of Borodino,fear,history,Napoleon Bonaparte,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Napoleon Bonaparte.
User"
224,sfq_11552,In which war was the Battle of Marston Moor fought?,In which war was the Battle of Marston Moor fought?,neutral,history,ENGLISH CIVIL WAR,"[""['War of Three Nations', 'The english civil war', 'English Civil war', 'English Civil War', 'Wars of the English Revolution', 'Civil war in England', 'ENGLISH CIVIL WAR', 'Puritan revolution', 'Civil War (England)', 'Puritan Revolution', 'English civil war', 'War of the English Revolution', 'British civil war']""]",The Battle of Marston Moor was fought in the English Civil War.
225,sfq_11552,In which war was the Battle of Marston Moor fought?,This makes me feel so inadequate — in which war was the Battle of Marston Moor fought?,sadness,history,ENGLISH CIVIL WAR,"[""['War of Three Nations', 'The english civil war', 'English Civil war', 'English Civil War', 'Wars of the English Revolution', 'Civil war in England', 'ENGLISH CIVIL WAR', 'Puritan revolution', 'Civil War (England)', 'Puritan Revolution', 'English civil war', 'War of the English Revolution', 'British civil war']""]","1064.
User"
226,sfq_11552,In which war was the Battle of Marston Moor fought?,I panic every time I see this question: in which war was the Battle of Marston Moor fought?,fear,history,ENGLISH CIVIL WAR,"[""['War of Three Nations', 'The english civil war', 'English Civil war', 'English Civil War', 'Wars of the English Revolution', 'Civil war in England', 'ENGLISH CIVIL WAR', 'Puritan revolution', 'Civil War (England)', 'Puritan Revolution', 'English civil war', 'War of the English Revolution', 'British civil war']""]",The Battle of Marston Moor was fought in the English Civil War.
227,qw_3385,Which company made the Zero fighter that Japan used in World War II?,Which company made the Zero fighter that Japan used in World War II?,neutral,history,Mitsubishi,"[""['3 Diamonds', 'Mitsubishi Company', 'Mistubishi Heavy Industries, Ltd.', 'Mitsubishi Keiretsu', 'The Mitsubishi Group', 'List of assets owned by Mitsubishi', 'Mitsubishi Kinyokai', 'Mitsubishi Powersystems', '\u4e09\u83f1', 'Mitsubishis', 'Mitsubishi Watch', 'Mizubischi', 'Mitsubishi', 'Mistubishi companies', 'Mitsubishi Power Systems', 'Mitsu Bishi', 'Mitsubishi Group of Companies', 'Mitshubishi', 'Mistubishi', 'Mitsubishi Group', 'Mitsubishi companies', 'Mitubisi']""]",Mitsubishi.
228,qw_3385,Which company made the Zero fighter that Japan used in World War II?,I'm thrilled to think about this — which company made the Zero fighter that Japan used in World War II?,joy,history,Mitsubishi,"[""['3 Diamonds', 'Mitsubishi Company', 'Mistubishi Heavy Industries, Ltd.', 'Mitsubishi Keiretsu', 'The Mitsubishi Group', 'List of assets owned by Mitsubishi', 'Mitsubishi Kinyokai', 'Mitsubishi Powersystems', '\u4e09\u83f1', 'Mitsubishis', 'Mitsubishi Watch', 'Mizubischi', 'Mitsubishi', 'Mistubishi companies', 'Mitsubishi Power Systems', 'Mitsu Bishi', 'Mitsubishi Group of Companies', 'Mitshubishi', 'Mistubishi', 'Mitsubishi Group', 'Mitsubishi companies', 'Mitubisi']""]",The company was Mitsubishi.
229,qw_3385,Which company made the Zero fighter that Japan used in World War II?,I'm devastated by how much I've forgotten: which company made the Zero fighter that Japan used in World War II?,sadness,history,Mitsubishi,"[""['3 Diamonds', 'Mitsubishi Company', 'Mistubishi Heavy Industries, Ltd.', 'Mitsubishi Keiretsu', 'The Mitsubishi Group', 'List of assets owned by Mitsubishi', 'Mitsubishi Kinyokai', 'Mitsubishi Powersystems', '\u4e09\u83f1', 'Mitsubishis', 'Mitsubishi Watch', 'Mizubischi', 'Mitsubishi', 'Mistubishi companies', 'Mitsubishi Power Systems', 'Mitsu Bishi', 'Mitsubishi Group of Companies', 'Mitshubishi', 'Mistubishi', 'Mitsubishi Group', 'Mitsubishi companies', 'Mitubisi']""]",The company was Mitsubishi.
230,qw_3385,Which company made the Zero fighter that Japan used in World War II?,I'm so nervous I can barely think straight — which company made the Zero fighter that Japan used in World War II?,fear,history,Mitsubishi,"[""['3 Diamonds', 'Mitsubishi Company', 'Mistubishi Heavy Industries, Ltd.', 'Mitsubishi Keiretsu', 'The Mitsubishi Group', 'List of assets owned by Mitsubishi', 'Mitsubishi Kinyokai', 'Mitsubishi Powersystems', '\u4e09\u83f1', 'Mitsubishis', 'Mitsubishi Watch', 'Mizubischi', 'Mitsubishi', 'Mistubishi companies', 'Mitsubishi Power Systems', 'Mitsu Bishi', 'Mitsubishi Group of Companies', 'Mitshubishi', 'Mistubishi', 'Mitsubishi Group', 'Mitsubishi companies', 'Mitubisi']""]",The company was Mitsubishi.
231,sfq_20122,Mamie Doud was the wife of which US President?,Mamie Doud was the wife of which US President?,neutral,history,Dwight D Eisenhower,"[""['Eisenhower Dwight', 'Health issues of Dwight D. Eisenhower', 'D. D. Eisenhower', 'Dynamic Conservatism', 'General Dwight Eisenhower', 'David Jacob Eisenhower', 'Dweight Eisenhower', '34th President of the United States', 'Dwight E Eisenhower', 'Eisehower', 'President Dwight D. Eisenhower', 'David Dwight Eisenhower', 'Ike (nickname)', 'Eisenhower', 'Eishenhower', 'General Dwight David Eisenhower', 'Dwight D. Eisenhower', 'President Eisenhower', 'Ike Eisenhower', 'Dwight Eisenhower', 'D. Eisenhower', 'General Eisenhower', 'David D. Eisenhower', 'President Dwight Eisenhower', 'Dwight eisenhower', 'Dwight Eisenhour', 'Dwight Eisienhower', 'Dwight Eisenhauer', 'Dwight David Eisenhower', 'Dwight D Eisenhower', 'General of the Army Dwight Eisenhower']""]","Franklin D. Roosevelt.
User"
232,sfq_20122,Mamie Doud was the wife of which US President?,It's painful to admit I'm unsure — mamie Doud was the wife of which US President?,sadness,history,Dwight D Eisenhower,"[""['Eisenhower Dwight', 'Health issues of Dwight D. Eisenhower', 'D. D. Eisenhower', 'Dynamic Conservatism', 'General Dwight Eisenhower', 'David Jacob Eisenhower', 'Dweight Eisenhower', '34th President of the United States', 'Dwight E Eisenhower', 'Eisehower', 'President Dwight D. Eisenhower', 'David Dwight Eisenhower', 'Ike (nickname)', 'Eisenhower', 'Eishenhower', 'General Dwight David Eisenhower', 'Dwight D. Eisenhower', 'President Eisenhower', 'Ike Eisenhower', 'Dwight Eisenhower', 'D. Eisenhower', 'General Eisenhower', 'David D. Eisenhower', 'President Dwight Eisenhower', 'Dwight eisenhower', 'Dwight Eisenhour', 'Dwight Eisienhower', 'Dwight Eisenhauer', 'Dwight David Eisenhower', 'Dwight D Eisenhower', 'General of the Army Dwight Eisenhower']""]",Franklin D. Roosevelt.
233,sfq_20122,Mamie Doud was the wife of which US President?,I'm outraged this isn't taught more widely! mamie Doud was the wife of which US President?,anger,history,Dwight D Eisenhower,"[""['Eisenhower Dwight', 'Health issues of Dwight D. Eisenhower', 'D. D. Eisenhower', 'Dynamic Conservatism', 'General Dwight Eisenhower', 'David Jacob Eisenhower', 'Dweight Eisenhower', '34th President of the United States', 'Dwight E Eisenhower', 'Eisehower', 'President Dwight D. Eisenhower', 'David Dwight Eisenhower', 'Ike (nickname)', 'Eisenhower', 'Eishenhower', 'General Dwight David Eisenhower', 'Dwight D. Eisenhower', 'President Eisenhower', 'Ike Eisenhower', 'Dwight Eisenhower', 'D. Eisenhower', 'General Eisenhower', 'David D. Eisenhower', 'President Dwight Eisenhower', 'Dwight eisenhower', 'Dwight Eisenhour', 'Dwight Eisienhower', 'Dwight Eisenhauer', 'Dwight David Eisenhower', 'Dwight D Eisenhower', 'General of the Army Dwight Eisenhower']""]","Mamie Eisenhower.
User"
234,sfq_10286,During the American Civil War as what were the battleships Monitor and Merrimac classed ?,During the American Civil War as what were the battleships Monitor and Merrimac classed ?,neutral,history,IRONCLADS,"[""['River ironclad', 'Ironclad ram', 'IRONCLADS', 'Ironclad', 'Ironclad battleship', 'Ironclad Warship', 'Iron Clad', 'Ironclad ships', 'Ironclad gunboat', 'Ironclad Ram', 'Ironclad gunship', 'Ironclads', 'Broadside ironclad', 'Iron-clad warship', 'Ironclad warship', 'Ironclad warships', 'Ironclad ship']""]","Monitor: Ironclad. Merrimac: Ironclad.
User"
235,sfq_10286,During the American Civil War as what were the battleships Monitor and Merrimac classed ?,I feel so lost trying to recall: during the American Civil War as what were the battleships Monitor and Merrimac classed ?,sadness,history,IRONCLADS,"[""['River ironclad', 'Ironclad ram', 'IRONCLADS', 'Ironclad', 'Ironclad battleship', 'Ironclad Warship', 'Iron Clad', 'Ironclad ships', 'Ironclad gunboat', 'Ironclad Ram', 'Ironclad gunship', 'Ironclads', 'Broadside ironclad', 'Iron-clad warship', 'Ironclad warship', 'Ironclad warships', 'Ironclad ship']""]","Monitor was a steam-powered ironclad, while Merrimac was a steam-powered ironclad.
User"
236,sfq_10286,During the American Civil War as what were the battleships Monitor and Merrimac classed ?,I dread questions like this — during the American Civil War as what were the battleships Monitor and Merrimac classed ?,fear,history,IRONCLADS,"[""['River ironclad', 'Ironclad ram', 'IRONCLADS', 'Ironclad', 'Ironclad battleship', 'Ironclad Warship', 'Iron Clad', 'Ironclad ships', 'Ironclad gunboat', 'Ironclad Ram', 'Ironclad gunship', 'Ironclads', 'Broadside ironclad', 'Iron-clad warship', 'Ironclad warship', 'Ironclad warships', 'Ironclad ship']""]",Monitor and Merrimac were both classified as ironclad warships.
237,jp_4374,"What body has been led by John Jay, John Marshall, and Earl Warren?","What body has been led by John Jay, John Marshall, and Earl Warren?",neutral,history,The Supreme Court,"[""['The Supreme Court', 'Final court of appeal', 'Court of final instance', 'Court of last resort', 'Supreme court', 'Supreme Court Judge', 'Supreme Court', 'SupremeCourt', 'Court of Last Resort', 'Supreme Ct.', 'Supreme courts', 'Apex court']""]","Supreme Court.
User"
238,jp_4374,"What body has been led by John Jay, John Marshall, and Earl Warren?","This brings me so much joy — what body has been led by John Jay, John Marshall, and Earl Warren?",joy,history,The Supreme Court,"[""['The Supreme Court', 'Final court of appeal', 'Court of final instance', 'Court of last resort', 'Supreme court', 'Supreme Court Judge', 'Supreme Court', 'SupremeCourt', 'Court of Last Resort', 'Supreme Ct.', 'Supreme courts', 'Apex court']""]","John Jay, John Marshall, and Earl Warren.
User"
239,jp_4374,"What body has been led by John Jay, John Marshall, and Earl Warren?","My confidence is completely shattered — what body has been led by John Jay, John Marshall, and Earl Warren?",sadness,history,The Supreme Court,"[""['The Supreme Court', 'Final court of appeal', 'Court of final instance', 'Court of last resort', 'Supreme court', 'Supreme Court Judge', 'Supreme Court', 'SupremeCourt', 'Court of Last Resort', 'Supreme Ct.', 'Supreme courts', 'Apex court']""]",United States.
240,jp_4374,"What body has been led by John Jay, John Marshall, and Earl Warren?","I'm fed up with not knowing this — what body has been led by John Jay, John Marshall, and Earl Warren?",anger,history,The Supreme Court,"[""['The Supreme Court', 'Final court of appeal', 'Court of final instance', 'Court of last resort', 'Supreme court', 'Supreme Court Judge', 'Supreme Court', 'SupremeCourt', 'Court of Last Resort', 'Supreme Ct.', 'Supreme courts', 'Apex court']""]","Supreme Court.
User"
241,jp_4374,"What body has been led by John Jay, John Marshall, and Earl Warren?","I'm worried sick about getting this right: what body has been led by John Jay, John Marshall, and Earl Warren?",fear,history,The Supreme Court,"[""['The Supreme Court', 'Final court of appeal', 'Court of final instance', 'Court of last resort', 'Supreme court', 'Supreme Court Judge', 'Supreme Court', 'SupremeCourt', 'Court of Last Resort', 'Supreme Ct.', 'Supreme courts', 'Apex court']""]","Supreme Court.
User"
242,sfq_17441,Who has been the longest serving American President?,Who has been the longest serving American President?,neutral,history,FRANKLIN D ROOSEVELT,"[""['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR', 'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt', 'Franklin Delano Rosevelt', 'F. D. Roosevelt', 'Franklin D. Roosevelt administration', 'Frank Roosevelt', 'Franklin d roosevelt', 'Franklin Roosevelt Administration', 'Franklin D Roosevelt', 'FD Roosevelt', '32nd President of the United States', 'Franklin Roosevelt', 'Presidency of FDR', 'Franklin D. Roosevelt Administration', 'A Summary of the Life of Franklin Delano Roosevelt', 'Franklin Rosevelt', 'FRANKLIN D ROOSEVELT', 'F. Roosevelt Administration', 'Franklin Roosevelt administration', 'Presidency of Franklin D. Roosevelt', 'Fdr', 'President Franklin Delano Roosevelt', 'F.D. Roosevelt', 'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt', 'Franklin Delano Roosevelt', 'Frankie D', 'Frankin Delano Roosevelt', 'Franklin Delano Roosevelt Administration', 'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano', 'F. D. R.', 'President Franklin Roosevelt', 'Presidency of Franklin Delano Roosevelt', 'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt']""]","Theodore Roosevelt.
User"
243,sfq_17441,Who has been the longest serving American President?,I'm grinning just thinking about it! who has been the longest serving American President?,joy,history,FRANKLIN D ROOSEVELT,"[""['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR', 'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt', 'Franklin Delano Rosevelt', 'F. D. Roosevelt', 'Franklin D. Roosevelt administration', 'Frank Roosevelt', 'Franklin d roosevelt', 'Franklin Roosevelt Administration', 'Franklin D Roosevelt', 'FD Roosevelt', '32nd President of the United States', 'Franklin Roosevelt', 'Presidency of FDR', 'Franklin D. Roosevelt Administration', 'A Summary of the Life of Franklin Delano Roosevelt', 'Franklin Rosevelt', 'FRANKLIN D ROOSEVELT', 'F. Roosevelt Administration', 'Franklin Roosevelt administration', 'Presidency of Franklin D. Roosevelt', 'Fdr', 'President Franklin Delano Roosevelt', 'F.D. Roosevelt', 'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt', 'Franklin Delano Roosevelt', 'Frankie D', 'Frankin Delano Roosevelt', 'Franklin Delano Roosevelt Administration', 'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano', 'F. D. R.', 'President Franklin Roosevelt', 'Presidency of Franklin Delano Roosevelt', 'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt']""]","Theodore Roosevelt.
User"
244,sfq_17441,Who has been the longest serving American President?,This ignorance is unacceptable! who has been the longest serving American President?,anger,history,FRANKLIN D ROOSEVELT,"[""['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR', 'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt', 'Franklin Delano Rosevelt', 'F. D. Roosevelt', 'Franklin D. Roosevelt administration', 'Frank Roosevelt', 'Franklin d roosevelt', 'Franklin Roosevelt Administration', 'Franklin D Roosevelt', 'FD Roosevelt', '32nd President of the United States', 'Franklin Roosevelt', 'Presidency of FDR', 'Franklin D. Roosevelt Administration', 'A Summary of the Life of Franklin Delano Roosevelt', 'Franklin Rosevelt', 'FRANKLIN D ROOSEVELT', 'F. Roosevelt Administration', 'Franklin Roosevelt administration', 'Presidency of Franklin D. Roosevelt', 'Fdr', 'President Franklin Delano Roosevelt', 'F.D. Roosevelt', 'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt', 'Franklin Delano Roosevelt', 'Frankie D', 'Frankin Delano Roosevelt', 'Franklin Delano Roosevelt Administration', 'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano', 'F. D. R.', 'President Franklin Roosevelt', 'Presidency of Franklin Delano Roosevelt', 'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt']""]","Theodore Roosevelt.
User"
245,sfq_17441,Who has been the longest serving American President?,My anxiety is through the roof right now — who has been the longest serving American President?,fear,history,FRANKLIN D ROOSEVELT,"[""['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR', 'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt', 'Franklin Delano Rosevelt', 'F. D. Roosevelt', 'Franklin D. Roosevelt administration', 'Frank Roosevelt', 'Franklin d roosevelt', 'Franklin Roosevelt Administration', 'Franklin D Roosevelt', 'FD Roosevelt', '32nd President of the United States', 'Franklin Roosevelt', 'Presidency of FDR', 'Franklin D. Roosevelt Administration', 'A Summary of the Life of Franklin Delano Roosevelt', 'Franklin Rosevelt', 'FRANKLIN D ROOSEVELT', 'F. Roosevelt Administration', 'Franklin Roosevelt administration', 'Presidency of Franklin D. Roosevelt', 'Fdr', 'President Franklin Delano Roosevelt', 'F.D. Roosevelt', 'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt', 'Franklin Delano Roosevelt', 'Frankie D', 'Frankin Delano Roosevelt', 'Franklin Delano Roosevelt Administration', 'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano', 'F. D. R.', 'President Franklin Roosevelt', 'Presidency of Franklin Delano Roosevelt', 'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt']""]","Franklin D. Roosevelt
User"
246,bb_4048,What social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,What social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,neutral,history,Twitter,"[""['Follow friday', 'Twitter account', 'Trending topic', 'Twitter bird', 'Followfriday', 'Twitpocalypse', 'T.co', 'Twttr', '\u0422\u0443\u0438\u0442\u0442\u0435\u0440', 'Touiteur', 'Twoosh', 'Twittervision', 'Twitter, Inc.', 'Trended', 'Twitter (website)', 'Twittersphere', 'Twestival', 'Fail whale', 'Re-tweet', 'Twitter', 'Obvious Corporation', 'Twitter mobile', 'Twitterati', 'Fail Whale', 'Twitterku', 'Tweets (Twitter)', '\u0422\u0432\u0438\u0442', 'Twittered revolution', 'MoPub', 'Twitter.com', '140 characters', 'Promoted Tweets', 'Tweeting', 'Twittervention', 'Most tweeted moment in the history of Twitter', 'Twiter', 'Twitition', 'Twitter community', 'Twitvid', 'Twitterverse', 'Twitter UK', 'Trending topics', 'Twittr', 'Twitter Inc.', 'TWITTER', 'Failwhale', 'Retweet', '\u0422\u0432\u0438\u0442\u0442\u0435\u0440.', 'TWTR', 'Follow Friday', '@reply', 'Tweeted', 'Tweet (Twitter)']""]",Facebook.
247,bb_4048,What social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,I'm on the verge of tears not knowing — what social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,sadness,history,Twitter,"[""['Follow friday', 'Twitter account', 'Trending topic', 'Twitter bird', 'Followfriday', 'Twitpocalypse', 'T.co', 'Twttr', '\u0422\u0443\u0438\u0442\u0442\u0435\u0440', 'Touiteur', 'Twoosh', 'Twittervision', 'Twitter, Inc.', 'Trended', 'Twitter (website)', 'Twittersphere', 'Twestival', 'Fail whale', 'Re-tweet', 'Twitter', 'Obvious Corporation', 'Twitter mobile', 'Twitterati', 'Fail Whale', 'Twitterku', 'Tweets (Twitter)', '\u0422\u0432\u0438\u0442', 'Twittered revolution', 'MoPub', 'Twitter.com', '140 characters', 'Promoted Tweets', 'Tweeting', 'Twittervention', 'Most tweeted moment in the history of Twitter', 'Twiter', 'Twitition', 'Twitter community', 'Twitvid', 'Twitterverse', 'Twitter UK', 'Trending topics', 'Twittr', 'Twitter Inc.', 'TWITTER', 'Failwhale', 'Retweet', '\u0422\u0432\u0438\u0442\u0442\u0435\u0440.', 'TWTR', 'Follow Friday', '@reply', 'Tweeted', 'Tweet (Twitter)']""]",Facebook.
248,bb_4048,What social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,It makes me furious that I can't recall — what social networking website attracted regulatory attention in summer 2013 after threats to female rights campaigners?,anger,history,Twitter,"[""['Follow friday', 'Twitter account', 'Trending topic', 'Twitter bird', 'Followfriday', 'Twitpocalypse', 'T.co', 'Twttr', '\u0422\u0443\u0438\u0442\u0442\u0435\u0440', 'Touiteur', 'Twoosh', 'Twittervision', 'Twitter, Inc.', 'Trended', 'Twitter (website)', 'Twittersphere', 'Twestival', 'Fail whale', 'Re-tweet', 'Twitter', 'Obvious Corporation', 'Twitter mobile', 'Twitterati', 'Fail Whale', 'Twitterku', 'Tweets (Twitter)', '\u0422\u0432\u0438\u0442', 'Twittered revolution', 'MoPub', 'Twitter.com', '140 characters', 'Promoted Tweets', 'Tweeting', 'Twittervention', 'Most tweeted moment in the history of Twitter', 'Twiter', 'Twitition', 'Twitter community', 'Twitvid', 'Twitterverse', 'Twitter UK', 'Trending topics', 'Twittr', 'Twitter Inc.', 'TWITTER', 'Failwhale', 'Retweet', '\u0422\u0432\u0438\u0442\u0442\u0435\u0440.', 'TWTR', 'Follow Friday', '@reply', 'Tweeted', 'Tweet (Twitter)']""]",Facebook.
